cpu_request,mem_request,cpu_limit,mem_limit,runtime_minutes,cpu_usage,ck_DaemonSet,ck_Job,ck_ReplicaSet,ck_ReplicationController,ck_StatefulSet,ck_UNKNOWN
0.01,33554432,0.1,67108864,10720.89543,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10725.02877,0.00592617429,0.0,0.0,1.0,0.0,0.0,0.0
0.1,67108864,0.2,134217728,10445.9121,0.09774692316,1.0,0.0,0.0,0.0,0.0,0.0
0.01,134217728,0.1,268435456,10724.69543,0.002488473649,1.0,0.0,0.0,0.0,0.0,0.0
0.01,83886080,0.1,167772160,10719.3121,3.88e-05,0.0,0.0,1.0,0.0,0.0,0.0
0.02,536870912,0.1,1073741824,10720.52877,0.0001686803293,0.0,0.0,1.0,0.0,0.0,0.0
0.1,134217728,0.3,268435456,10725.1516,0.0008890147207,0.0,0.0,1.0,0.0,0.0,0.0
0.75,536870912,1.0,2147483648,10722.5516,0.02511819266,1.0,0.0,0.0,0.0,0.0,0.0
1.5,3221225472,0.0,0,10723.8516,0.008229311924,0.0,0.0,0.0,0.0,1.0,0.0
0.05,2147483648,0.25,2147483648,10723.03493,0.00358837529,0.0,0.0,0.0,0.0,1.0,0.0
0.05,268435456,0.2,536870912,5256.1016,0.0195320983,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10725.41827,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.01,25165824,0.2,104857600,10727.3016,1.52e-06,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,10725.6016,0.04056384614,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,10723.81827,0.005877987169,0.0,0.0,1.0,0.0,0.0,0.0
0.2,67108864,0.5,268435456,10725.2516,0.001637586667,0.0,0.0,1.0,0.0,0.0,0.0
0.01,25165824,0.2,104857600,10727.4016,8.79e-07,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,8250.134933,0.0006346107541,1.0,0.0,0.0,0.0,0.0,0.0
0.1,50000000,0.2,100000000,10449.53493,0.04057555024,1.0,0.0,0.0,0.0,0.0,0.0
0.1,1073741824,0.2,1610612736,10726.2016,0.04636601441,0.0,0.0,1.0,0.0,0.0,0.0
0.1,1073741824,0.3,4294967296,10725.1516,0.0008041679736,0.0,0.0,1.0,0.0,0.0,0.0
0.1,3221225472,1.0,3221225472,10723.1516,0.005896198616,0.0,0.0,0.0,0.0,1.0,0.0
0.25,536870912,0.25,536870912,10720.33493,1.56e-06,0.0,0.0,1.0,0.0,0.0,0.0
0.1,2147483648,1.0,2147483648,10724.18493,0.005759044041,0.0,0.0,0.0,0.0,1.0,0.0
0.01,33554432,0.1,67108864,10720.9516,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.02,536870912,0.1,1073741824,10720.6016,0.0001720751247,0.0,0.0,1.0,0.0,0.0,0.0
0.01,25165824,0.2,104857600,10726.93493,1.1e-06,1.0,0.0,0.0,0.0,0.0,0.0
0.01,33554432,0.1,134217728,10722.72877,0.0006385271909,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10727.4121,0.02998631832,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,10726.92877,0.02202847128,1.0,0.0,0.0,0.0,0.0,0.0
0.0,64000000,4.0,8589934592,10722.89543,0.01112139142,0.0,0.0,0.0,1.0,0.0,0.0
0.01,25165824,0.2,104857600,10724.5621,7.51e-07,1.0,0.0,0.0,0.0,0.0,0.0
0.1,268435456,0.5,805306368,10723.64543,0.0007642663419,0.0,0.0,1.0,0.0,0.0,0.0
0.1,50000000,0.2,100000000,10446.34543,0.0804019725,1.0,0.0,0.0,0.0,0.0,0.0
0.1,50000000,0.2,100000000,10720.89543,0.04844330336,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,10724.29543,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10726.02877,0.004304454112,1.0,0.0,0.0,0.0,0.0,0.0
0.01,25165824,0.2,104857600,10726.8621,1.1e-06,1.0,0.0,0.0,0.0,0.0,0.0
3.072,3221225472,4.096,4294967296,10724.04543,1.94e-05,0.0,0.0,1.0,0.0,0.0,0.0
0.001,18874368,0.2,268435456,10725.52877,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.75,1073741824,1.0,2147483648,10723.6621,3.81e-06,0.0,0.0,1.0,0.0,0.0,0.0
0.01,134217728,0.1,268435456,10725.72877,0.002569914861,1.0,0.0,0.0,0.0,0.0,0.0
0.1,1073741824,0.5,2147483648,10720.3621,0.007381316119,0.0,0.0,1.0,0.0,0.0,0.0
0.2,8589934592,1.0,10737418240,10720.34543,0.01204576411,0.0,0.0,0.0,0.0,1.0,0.0
0.1,134217728,0.3,268435456,10725.07877,0.0007740084841,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10726.99543,0.00212855039,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10724.29543,0.01171723553,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.1,50000000,0.2,100000000,10446.38493,0.005561502506,1.0,0.0,0.0,0.0,0.0,0.0
0.0,64000000,4.0,8589934592,10722.8516,0.01092687246,0.0,0.0,0.0,1.0,0.0,0.0
0.01,67108864,0.1,134217728,10723.7016,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.01,33554432,0.1,67108864,10720.96827,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10725.1016,0.00592617429,0.0,0.0,1.0,0.0,0.0,0.0
0.1,67108864,0.2,134217728,10445.98493,0.09774692316,1.0,0.0,0.0,0.0,0.0,0.0
0.01,134217728,0.1,268435456,10724.76827,0.002488473649,1.0,0.0,0.0,0.0,0.0,0.0
0.01,83886080,0.1,167772160,10719.38493,3.88e-05,0.0,0.0,1.0,0.0,0.0,0.0
0.02,536870912,0.1,1073741824,10720.6016,0.0001686803293,0.0,0.0,1.0,0.0,0.0,0.0
0.01,33554432,0.1,134217728,10722.8016,0.0006385271909,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10727.48493,0.02998631832,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,10727.0016,0.02202847128,1.0,0.0,0.0,0.0,0.0,0.0
0.0,64000000,4.0,8589934592,10722.96827,0.01112139142,0.0,0.0,0.0,1.0,0.0,0.0
0.01,25165824,0.2,104857600,10724.63493,7.51e-07,1.0,0.0,0.0,0.0,0.0,0.0
0.1,268435456,0.5,805306368,10723.71827,0.0007642663419,0.0,0.0,1.0,0.0,0.0,0.0
0.1,50000000,0.2,100000000,10446.41827,0.0804019725,1.0,0.0,0.0,0.0,0.0,0.0
0.1,50000000,0.2,100000000,10720.96827,0.04844330336,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0,0.0,0,10724.36827,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10726.1016,0.004304454112,1.0,0.0,0.0,0.0,0.0,0.0
16.384,68719476736,24.576,137438953472,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10726.17877,0.003348349849,0.0,0.0,1.0,0.0,0.0,0.0
0.1,2147483648,1.0,3221225472,10724.94543,0.007742817916,0.0,0.0,0.0,0.0,1.0,0.0
0.1,50000000,0.2,100000000,5760.645433,0.1490025753,1.0,0.0,0.0,0.0,0.0,0.0
0.2,134217728,0.5,268435456,10722.87877,0.0001647350072,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0,0.0,0,10726.0621,6.32e-06,0.0,0.0,1.0,0.0,0.0,0.0
0.1,134217728,0.3,268435456,10725.1121,0.0008406247201,0.0,0.0,1.0,0.0,0.0,0.0
0.005,26214400,0.02,104857600,111.0121,0.0007769647477,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10725.94543,0.004029391086,0.0,0.0,1.0,0.0,0.0,0.0
0.02,536870912,0.1,1073741824,10720.32877,0.0001747490202,0.0,0.0,1.0,0.0,0.0,0.0
0.05,268435456,0.5,536870912,8028.828767,0.002755387889,0.0,0.0,1.0,0.0,0.0,0.0
0.01,268435456,0.1,536870912,10722.99543,0.0003016968182,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,8.645433335,0.1419274018,0.0,0.0,1.0,0.0,0.0,0.0
0.01,1073741824,0.2,2147483648,10726.04543,0.00429218797,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0,0.0,0,10724.77877,0.03050515917,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0,0.0,0,10726.1121,0.0006337991507,1.0,0.0,0.0,0.0,0.0,0.0
0.1,3221225472,1.0,4294967296,10724.49543,0.01092028739,0.0,0.0,0.0,0.0,1.0,0.0
0.02,536870912,0.1,1073741824,10720.87877,0.0001713225147,0.0,0.0,1.0,0.0,0.0,0.0
0.1,3221225472,1.0,3221225472,10723.07877,0.00549476285,0.0,0.0,0.0,0.0,1.0,0.0
0.01,134217728,0.1,268435456,10726.59543,0.00368795594,1.0,0.0,0.0,0.0,0.0,0.0
0.1,3221225472,1.0,3221225472,10723.17877,0.006495635817,0.0,0.0,0.0,0.0,1.0,0.0
3.072,3221225472,4.096,4294967296,10724.11827,1.94e-05,0.0,0.0,1.0,0.0,0.0,0.0
0.001,18874368,0.2,268435456,10725.6016,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.75,1073741824,1.0,2147483648,10723.73493,3.81e-06,0.0,0.0,1.0,0.0,0.0,0.0
0.01,134217728,0.1,268435456,10725.8016,0.002569914861,1.0,0.0,0.0,0.0,0.0,0.0
0.1,1073741824,0.5,2147483648,10720.43493,0.007381316119,0.0,0.0,1.0,0.0,0.0,0.0
0.2,8589934592,1.0,10737418240,10720.41827,0.01204576411,0.0,0.0,0.0,0.0,1.0,0.0
0.1,134217728,0.3,268435456,10725.1516,0.0007740084841,0.0,0.0,1.0,0.0,0.0,0.0
